city,lat,lng
Fukushima,37.760834,140.474728
Ichihara,35.497838,140.115665
Maebashi,36.389482,139.063428
Ichinomiya,35.303890,136.802933
Hakodate,41.768793,140.728810
Ibaraki,36.341811,140.446794
Yao,34.626863,135.600977
Kakogawachō-honmachi,34.756950,134.841177
Tokushima,34.070270,134.554844
Hiratsuka,35.335110,139.349476
Yamagata,38.240435,140.363633
Fukui-shi,36.064067,136.219494
Mito,36.366503,140.470996
Shimonoseki,33.957831,130.941459
Takasaki,36.321909,139.003294
Fuji,35.360555,138.727778
Hachinohe,40.512284,141.488399
Neyagawa,34.766093,135.628100
Kurume,33.319286,130.508374
Sasebo,33.179915,129.715110
Chigasaki,35.333843,139.403639
Sōka,35.825355,139.805402
Atsugi,35.443082,139.362489
Minamirinkan,35.495855,139.446917
Takarazuka,34.799767,135.360073
Ageoshimo,31.596553,130.557116
Matsumoto,36.238038,137.972034
Kasukabe,35.975198,139.752301
Kishiwada,34.460634,135.370829
Numazu,35.095584,138.863493
Jōetsu,37.147848,138.236080
Odawara,35.264564,139.152154
Kure,34.248646,132.565441
Nagaoka,37.446265,138.851277
Nishi-Tokyo-shi,35.725496,139.538156
Itami,34.784306,135.400947
Uji,34.884461,135.799854
Suzuka,34.881880,136.584209
Kōfu,35.662280,138.568201
Izumi,34.483527,135.423557
Hitachi,36.599129,140.650458
Kushiro,42.984854,144.381356
Mitaka-shi,35.683513,139.559584
Sakura,35.723486,140.223964
Kamirenjaku,35.695842,139.553082
Anjō,34.958641,137.080297
Tsukuba,36.083486,140.076642
Hirosaki,40.603124,140.463922
Tomakomai,42.634302,141.605372
Hadano,35.374736,139.219943
Obihiro,42.923899,143.196103
Ube,33.951509,131.246786
"Hino, Tokyo",35.671337,139.394926
Takaoka,36.754096,137.025728
Kamakura,35.319225,139.546687
Saga,33.263482,130.300858
Tsu,34.718596,136.505697
Sayama,35.852942,139.412213
Kawanishi,34.830135,135.417278
Oyama,36.314671,139.800131
Ashikaga,36.340151,139.449698
Matsue,35.468060,133.048375
Hitachi-Naka,36.396615,140.534676
Nagareyama,35.856310,139.902660
Katsuta,36.394680,140.524589
Kumagaya,36.147310,139.388645
Tottori,35.501133,134.235091
Ōta,35.561257,139.716051
Komaki,35.290310,136.910952
Ōgaki,35.359384,136.612750
東村山市,35.754597,139.468489
Ōme,35.787996,139.275830
Moriguchi,34.735787,135.561751
Yamaguchi,34.185956,131.470649
Otaru,43.190717,140.994662
Urayasu,35.653153,139.901917
Yonago,35.428072,133.330945
Kariya,34.989224,137.002107
Musashino,35.717784,139.566260
Zama,35.488587,139.407673
Seto,35.223958,137.084030
Ebetsu,43.103744,141.536247
Tondabayashichō,34.500022,135.600700
Fujieda,34.867367,138.257458
Sandachō,34.889996,135.225453
Kakamigahara,35.398869,136.848264
Ōmuta,33.030262,130.445985
Abiko,35.864123,140.028225
Kadoma,34.739542,135.586890
Miyakonojō,31.719590,131.061621
Matsubara,34.577879,135.551850
Isesaki,36.311364,139.196770
Daitōchō,34.722693,135.528665
"Mino, Osaka",34.826930,135.470463
Asaka,35.797252,139.593916
Kusatsu,36.620778,138.596053
Ueda,36.401911,138.248889
Okinawa,26.212401,127.680932
Beppu,33.284620,131.491214
Kashihara-shi,34.509448,135.792626
Niihama,33.960290,133.283351
Kisarazu,35.381226,139.924860
Nobeoka,32.582272,131.665009
Fujinomiya,35.222054,138.621643
Noda,35.955192,139.874764
Yaizu,34.866920,138.323189
Toyokawa,34.826851,137.375542
Shimotoda,34.679533,138.945316
Kokubunji,35.710335,139.463191
Ikoma,34.691960,135.700536
Ishinomaki,38.434480,141.302917
Hōfu,34.051752,131.562690
Handa,34.891718,136.937961
Mishima,35.118402,138.918513
Kitami,43.804031,143.895876
Hikone,35.274461,136.259623
Kiryū,36.405491,139.330688
Komatsu,36.408351,136.445571
Iwatsuki,35.949861,139.694191
Tajimi,35.332800,137.132077
Iida,35.514978,137.821447
Yatsushiro,32.508387,130.602096
Iwakuni,34.166562,132.218848
Isehara,35.402969,139.314973
Nishio,34.861937,137.061850
Inazawa,35.248132,136.780202
Tokuyama,34.065682,131.814015
Narita,35.776608,140.318781
Sakata,38.914786,139.836571
Kōnan,35.332011,136.870617
Chikushino-shi,33.496342,130.515657
Tsuruoka,38.727197,139.826731
Ikeda,34.821705,135.428444
Isahaya,32.843438,130.053095
Mobara,35.428544,140.288027
Ise,34.487514,136.709336
Kameoka,35.013408,135.573609
Sakado,35.957170,139.402905
室蘭,42.315231,140.973799
Ōnojō,33.536307,130.478641
Kanuma,36.567111,139.745013
Yonezawa,37.922240,140.116781
Kitakami,39.286765,141.113191
Chitose,42.820958,141.650876
Kaizuka,34.437584,135.358517
Maizuru,35.474797,135.385992
Kimitsu,35.330450,139.902677
Ginowan,26.281575,127.778634
Onomichi,34.408876,133.204889
Ōmura,32.900090,129.958142
Tsuyama,35.069116,134.004543
Izumo,35.367035,132.754682
Ashiya,34.726950,135.304162
Iwata,34.717904,137.851513
Kōnosu,36.065758,139.522169
Nabari,34.627659,136.108296
Yotsukaidō,35.669816,140.167925
Hamakita,34.791611,137.783279
Gyōda,36.138949,139.455643
Hannō,35.855731,139.327734
Kashiwazaki,37.371900,138.558984
Ryūgasaki,35.911594,140.182264
Iwamizawa,43.196205,141.775933
Kakegawa,34.768767,137.998168
Gotenba,35.308715,138.934870
Yachimata,35.665917,140.317952
Katori-shi,35.897735,140.499268
Kamigyō-ku,35.029618,135.756627
Sanjō,37.636768,138.961689
Sano,36.314349,139.578341
Kanoya,31.378292,130.852077
Tochigi,36.565725,139.883565
Tanashichō,35.728577,139.538856
Marugame,34.289506,133.797706
Yashio-shi,35.822536,139.839175
Tatebayashi,36.244849,139.541968
Shibata,37.948075,139.327292
Gamagōri,34.826500,137.219516
Izumiōtsu,34.504279,135.410464
Toride,35.911442,140.050468
Mihara,34.397433,133.078658
Ushiku,35.979375,140.149524
Kashihara,34.509448,135.792626
Karatsu,33.450174,129.968134
Iizuka,33.646566,130.691150
Ōbu,35.011657,136.963835
Wako,35.781208,139.605793
Hatsukaichi,34.348258,132.331622
Tsurusaki,33.243760,131.685305
Furukawa,38.587112,140.948430
Shimada,34.836364,138.175997
Takefu,35.887963,136.236553
Okegawa,36.005779,139.542531
Miki,34.796944,134.990197
Inuyama,35.378607,136.944564
Kukichūō,36.066775,139.674929
Satsumasendai,31.813517,130.304244
Hanamaki,39.388578,141.116645
Yawata,34.875555,135.707621
Itō,34.965671,139.101936
Kazo,36.131438,139.601719
Yukuhashi,33.728773,130.982967
Tenri,34.596647,135.837331
Dazaifu,33.512799,130.523906
Maebaru-chūō,33.559834,130.199974
Tanabe,33.728034,135.377768
Ōmihachiman,35.128339,136.097907
Saku,36.248868,138.476831
Hekinan,34.884804,136.993375
Sukagawa,37.286955,140.372527
Fukuchiyama,35.296700,135.126563
Moriyama,35.058940,135.994404
Tsuruga,35.645244,136.055441
Matsutō,35.249538,136.899554
Tamano,34.491943,133.945987
Tsushima,34.333333,129.333333
Nakatsu,33.598221,131.188325
Shiojiri,36.114972,137.953449
Chiryū,35.001272,137.050749
Takayama,36.146124,137.252173
Tōgane,35.559944,140.366092
Sabae,35.956553,136.184474
Niitsu-honchō,37.797794,139.125364
Mooka,36.440419,140.013442
Shiki,35.836750,139.580319
Tendō,38.362265,140.377886
Gushikawa,26.357768,127.869199
Hasuda,35.994307,139.662106
Ōdate,40.271405,140.564285
Imaichi,36.723952,139.689323
Narutochō-mitsuishi,34.172562,134.608786
Shimodate,39.154921,140.463171
Tosu,33.377755,130.506258
Fujioka,36.258477,139.074439
Fukuroi,34.750174,137.924679
Ichinoseki,38.934682,141.126800
Sakurai,34.518714,135.843216
Kitahiroshima,42.985516,141.562987
Fussa,35.738450,139.326932
Ina,35.827481,137.954080
Nagahama,35.380815,136.278722
Honjō,36.243568,139.190393
Ueno-ebisumachi,34.761171,136.132988
Hita,33.321333,130.940966
Toki,35.352500,137.183202
Mizusawa,38.834412,141.192129
Kuroiso,36.983237,140.037322
Takaishi,34.520717,135.442452
Yoshikawa,35.891152,139.841375
Zushi,35.295606,139.580423
Koga,36.184645,139.702525
Nago,26.591546,127.977316
Shiogama,38.314362,141.022027
Uwajima,33.223340,132.560557
Ōtawara,36.871484,140.017419
Saijō,33.919511,133.181170
Hanyū,36.172626,139.548465
Chichibu,35.991689,139.085442
Kasaoka,34.507180,133.507441
"Koga, Ibaraki",36.184645,139.702525
Imarichō-kō,33.264586,129.880269
Kokubu-matsuki,31.733780,130.753310
Sōja,34.672807,133.746528
Ishikari,43.171384,141.315520
Itoman,26.123584,127.665815
Hashimoto,34.315053,135.605296
Sakaidechō,34.316319,133.860510
Nōgata,33.744184,130.729633
Chino,35.995571,138.158893
Moriya,35.951421,139.975391
Tomigusuku,26.161006,127.668944
Iwade,34.256295,135.311323
Anan,33.921828,134.659527
Nanto,36.557513,136.875336
Shiroi,35.791233,140.055877
Satte,36.078072,139.725861
Nakatsugawa,35.487548,137.500509
Suwa,36.039142,138.114182
Himimachi,36.856573,136.987881
Okaya,36.067011,138.049326
Suzaka,36.651097,138.307192
Ōami,35.523563,140.318160
Mukō,34.948736,135.698288
Hatogaya-honchō,35.832567,139.742449
Kudamatsu,34.015030,131.870342
Kamifukuoka,35.875625,139.514206
Ishioka,36.190956,140.288570
Miyako,39.641420,141.957139
Futtsu,35.304120,139.857105
Tagawa,33.638982,130.806298
Yūki,36.305416,139.876641
Minokamo,35.440242,137.015664
Miura,35.144171,139.620770
Noshiromachi,40.211890,140.026971
Shiraoka,36.019026,139.676925
Kitaibaraki,36.801911,140.750979
Fuchūchō,35.676937,139.487291
Ōi,35.604679,139.730028
Ono,34.853193,134.931376
Tateyama,36.663522,137.313697
Sugito,36.025765,139.736709
Tokoname,34.886700,136.832397
Tomioka,37.345409,141.008812
Mutsu,41.292746,141.183475
Goshogawara,40.808002,140.440090
Saiki,32.959806,131.900058
Masuda,34.674817,131.842862
Nonoichi,36.519704,136.609971
Kurayoshi,35.430179,133.825561
Shibukawa,36.489471,139.000448
Ami,36.030795,140.214786
Annaka,36.326368,138.887324
Iwakura,35.279503,136.871431
Sasayama,35.075661,135.219051
Sawara,33.497288,130.334084
Inashiki,35.972940,140.303645
Gujō,35.748577,136.964354
Naka,36.457469,140.486854
Nakama,33.816650,130.709077
Toyooka,35.544575,134.820181
Komoro,36.327419,138.425880
Hikari,33.961913,131.942282
Uozu,36.827367,137.409215
Higashine,38.431354,140.391090
Hamada,41.557935,-87.796876
Tamana,32.935220,130.562839
Numata,36.646077,139.044161
Youkaichi,34.965157,136.624485
Nanao,37.043102,136.967518
Obita,35.320917,136.836765
Takikawa,43.557795,141.910190
Ishigaki,24.406403,124.175444
Kan’onjichō,34.127789,133.650043
Onoda,33.946143,131.171588
Tsubame,37.673152,138.882230
Nichinan,31.601396,131.378339
Hagi,34.408116,131.399085
Kosai-shi,34.718466,137.531626
Sagae,38.380964,140.275967
Kainan,34.155336,135.209223
Ryūō,35.060803,136.124535
Mitsuke,37.531604,138.912825
Nishifukuma,33.764338,130.472097
Kamaishi,39.275818,141.885677
Misawa,40.683134,141.368976
Nakano,35.707398,139.663835
Mizunami,35.361712,137.254587
Komatsushimachō,34.004711,134.590674
Tamamura,36.304433,139.114913
Tomiya,38.399815,140.895408
Abashiri,44.020632,144.273398
Iwai,36.046363,139.887187
Iwanuma,38.104292,140.870138
Amagi,27.811782,128.897702
Asahi,35.720434,140.646469
Taketoyo,34.851134,136.914803
Hisai-motomachi,34.668926,136.468916
Wakkanai,45.415664,141.673082
Shirone,37.760940,139.014078
Naze,26.212312,127.679157
Mitsukaidō,36.023494,139.993617
Shinjō,38.765015,140.301608
Tōkamachi,37.127582,138.755707
Otofuke,42.994143,143.197960
Hondo,33.221683,133.185063
Kannabechō-yahiro,34.564641,133.416742
Komono,35.020068,136.507344
Atami,35.096276,139.071705
Ojiya,37.314338,138.795100
Takahama,34.927588,136.987269
Yanagawa,33.163089,130.405753
Tatsunochō-tominaga,34.861779,134.549706
Kameyama,34.855755,136.451645
Umi,33.567779,130.511112
Kobayashi,31.996731,130.972588
Mibu,36.427058,139.803932
Morohongō,35.941195,139.306166
Sumoto,34.342870,134.895367
Shiroishi,38.002478,140.619860
Hamanoichi,34.501352,131.468769
Miyoshi,34.026041,133.807263
Uto,32.687999,130.659721
Ōkawa,33.206594,130.383958
Hasaki,35.745378,140.827290
Yokotemachi,39.311659,140.558625
Minakuchichō-matoba,34.968128,136.162962
"Ōzu, Ehime",33.506194,132.544509
Ōmagari,39.444209,140.498618
Yorii,36.118348,139.193012
Tsubata,36.668693,136.728442
Kuroishi,40.642632,140.594645
Tahara,34.668806,137.264203
Shimabara,32.788103,130.370286
Kamiiso,41.734713,140.445380
Hitoyoshi,32.210040,130.762554
Kawanoechō,34.013492,133.573815
Ayabe,35.298916,135.258812
Ogawa,36.617271,137.974724
Gosen,37.744536,139.182568
Tomobe,36.356320,140.143716
Kitakata,37.651355,139.874609
Kanekomachi,36.411379,138.986167
Nishiwaki,34.993355,134.969189
Hanawa,36.957437,140.409573
Kanie,35.132331,136.786746
Sakaiminato,35.539592,133.231486
Watari,38.037459,140.852581
Nihommatsu,37.584858,140.431129
Yaita,36.806686,139.924054
Kanda,35.701922,139.767846
Shinshiro,34.899229,137.498476
Nishishinminato,36.780655,137.077934
Kaminoyama,38.149562,140.267827
Ōfunato,39.081901,141.708530
Funaishikawa,36.470782,140.561579
Date,42.471851,140.864678
Rifu,38.330190,140.975722
Usuki,33.126011,131.805124
Gero,35.805882,137.244100
Namerikawa,36.764378,137.341191
Okunoya,26.212401,127.680932
Nakamura,35.732226,139.648036
Ibara,34.597672,133.463681
Hirara,24.805193,125.278954
Gojō,34.352030,135.693632
Tsuma,36.195503,133.234491
Katsuren-haebaru,26.334407,127.882867
Takeochō-takeo,33.193749,130.019151
Takahagi,36.719147,140.716688
Maruoka,38.678450,139.835268
Yuzawa,36.934025,138.817440
Nirasaki,35.708897,138.446127
Kakuda,37.977063,140.781990
Hotaka,36.340007,137.883083
Fujishiro,35.923198,140.108566
Obama,35.495593,135.746644
Gose,34.463330,135.740240
Kameda-honchō,41.890576,140.693478
Tawaramoto,34.556601,135.794876
Yōkaichiba,35.705525,140.558574
Ōiso,35.306850,139.311314
Sasaguri,33.623948,130.526256
Kuroda,34.233948,135.192120
Kashima,35.965756,140.644813
Aioi,34.803601,134.468066
Yamaga,33.017578,130.691365
Yanai,33.963833,132.101597
Kamo,37.666275,139.040198
Yamoto,35.487512,139.457950
Ōdachō-ōda,35.192106,132.499293
Ueki,32.279553,130.971733
Shingū,33.724105,135.992411
Ninomiya,35.299491,139.255402
Murakami,38.223979,139.480021
Sakai-nakajima,36.264254,139.250658
Ōtsuki,35.610485,138.940028
Nemuro,43.330076,145.582790
Hayama,35.272089,139.586200
Nagai,38.107494,140.040524
Itoigawa,37.039028,137.862652
Kaminokawa,36.439296,139.909884
Iyo,33.757429,132.703729
Ōmachi,36.503018,137.851094
Masaki,33.787440,132.711375
Takehara,34.341794,132.907088
Ujiie,36.683926,139.964941
Ōtake,34.237977,132.222475
Nanae,41.895720,140.694280
Ōzu,33.506194,132.544509
Ibusuki,31.252770,130.633031
Isawa,32.976039,132.964534
Kasama,36.345300,140.304354
Minamata,32.214516,130.407370
Yasugichō,35.356108,133.277938
Togitsu,32.828888,129.848536
Muikamachi,37.062556,138.878631
Kamogawa,35.113987,140.098711
Tarui,35.370253,136.527102
Maki,37.755239,138.886323
Bibai,43.332881,141.853785
Tanuma,34.845639,138.255437
Fukiage-fujimi,36.097938,139.452259
Hiratachō,34.864698,136.526752
Hōjō,33.977228,132.774328
Aso,32.951954,131.120955
Hiji,33.369443,131.532387
Chatan,26.320119,127.763776
Uenohara,35.630259,139.108599
Toyoshina,36.300657,137.904743
Kurihashi,36.121975,139.707963
Menuma,36.225168,139.378166
Ōmiya,35.906487,139.628754
Nyūzen,36.933511,137.502045
Yugawara,35.147964,139.108317
Arai,35.712476,139.667552
Gobō,33.891492,135.152346
Katsuyama,36.060945,136.500584
Mombetsu,44.356484,143.354503
Buzen,33.611511,131.130051
Tōno,39.327838,141.533303
Shimoda,34.679533,138.945316
Kikuchi,32.979483,130.813333
Fukuechō,32.698974,128.846415
Nayoro,44.355938,142.463167
Rumoi,43.940987,141.637012
Ishii,34.074173,134.440690
Takahata,38.002736,140.189160
Susaki,33.400745,133.282953
Ōno-hara,37.342046,140.564967
Matsubase,32.652160,130.675613
Fukagawa,43.723260,142.053538
Innoshima,34.321804,133.165029
Mashiko,36.467353,140.093378
Makubetsu,42.908590,143.356097
Sagara,32.235269,130.798095
Shimo-furano,43.347089,142.391256
Itako,35.947123,140.555372
Sukumo,32.939008,132.726286
Omigawa,35.855096,140.605884
Kushikino,31.714553,130.271929
Narutō,34.172562,134.608786
Yoshii,35.251316,139.700375
Yoshida-kasugachō,37.683792,138.882546
Kamimaruko,35.575730,139.663511
Iiyama,36.851745,138.365495
Ijūin,31.430716,130.905610
Enzan,36.069943,136.245231
Yamazakichō-nakabirose,36.069943,136.245231
Akune,32.014470,130.192773
Makurazaki,31.272900,130.296904
Itsukaichi,35.727874,139.222259
Ishige,38.160051,138.304689
Takahashi,34.791023,133.616733
Gōtsuchō,35.011418,132.220930
Hakui,36.893599,136.778996
Hobaramachi,37.819969,140.554015
Kamojimachō-jōgejima,34.071632,134.349357
Ino,33.548754,133.427773
Setakamachi-takayanagi,33.149209,130.462974
Ishiki,31.617967,130.525623
BungoTakada,33.556160,131.447091
Kitahama,33.556160,131.447091
Niimi,34.977030,133.470306
Kaseda-shirakame,31.416598,130.311293
"Mino, Gifu",35.544770,136.907540
Funehikimachi-funehiki,37.441074,140.575056
Ogōri-shimogō,34.097566,131.397129
Tadotsu,34.272488,133.753605
Mikuni,36.790409,138.792085
Sobue,35.255373,136.719375
Kitsuki,33.417026,131.616089
Ōkawara,35.558806,138.041086
Toba,34.481435,136.843362
Shirahamachō-usazakiminami,34.775709,134.720672
Nagato,34.370956,131.182195
Fujikawaguchiko,35.497314,138.755084
Tochio-honchō,35.696395,139.680032
Kamiichi,36.698414,137.362380
Kajiki,32.369211,130.648854
Bihoro,43.823782,144.107042
Shido,34.323016,134.174358
Yoichi,43.195232,140.783467
"Hino, Shiga",35.018003,136.246043
Tennō,39.898209,139.961356
Motomiya,37.513131,140.393890
Kasamatsuchō,35.367200,136.763167
Hirado,33.368062,129.553671
Takanabe,32.127999,131.503355
Shizunai-furukawachō,42.333201,142.368072
Ōkuchi-shinohara,32.062369,130.620101
Ishikawa,36.594682,136.625573
Daigo,36.768096,140.355266
Katsuura,35.152283,140.320932
Yatsuomachi-higashikumisaka,36.567208,137.129422
Shōbu,34.997723,138.370924
Kushima,31.464539,131.228303
Kozakai-chō,35.467188,132.878899
Tsurugi-asahimachi,36.447423,136.633214
Owase,34.070799,136.190995
Iwase,35.356332,139.543096
Toyohama,34.709926,136.934120
Namie,37.483333,141.000000
Tōbetsu,43.223683,141.517072
Shibetsu,44.178734,142.400404
Tsukumiura,33.072183,131.861277
Miyazu,35.535577,135.195567
Yashiro,35.182938,133.748422
Kodamachō-kodamaminami,36.181239,139.131190
Tatsuno,34.857863,134.545360
Ōmamachō-ōmama,36.431089,139.273915
Tanushimarumachi-toyoki,33.343715,130.683887
Shin’ichi,34.554332,133.269505
Kisai,36.100869,139.577245
Obanazawa,38.600622,140.405691
Yanagawamachi-saiwaichō,37.850517,140.600154
Shiraoi,42.551260,141.355955
Edosaki,35.958139,140.321220
Gōdo,35.417368,136.608459
Namioka,37.734337,138.915143
Takanosu,40.215186,140.373925
Shōbara,34.857732,133.017277
Miyata,33.725529,130.666741
Suibara,37.845733,139.234204
Kanaya,35.167521,139.822615
Mori,35.660318,139.728990
Ōhara,35.250275,140.390325
Shiozawa,37.039835,138.849993
Kanzakimachi-kanzaki,33.310763,130.373060
Yamada,39.467662,141.948950
Aki,34.365117,132.560765
Sunagawa,43.494843,141.903465
Sueyoshichō-ninokata,31.654665,131.021690
Shisui,35.724824,140.269547
Shizukuishi,39.696287,140.975776
Kogota,37.872982,140.567450
Muramatsu,37.692442,139.177392
Miharu,37.441048,140.492569
Motegi,36.532120,140.187565
Fukumitsu,36.559160,136.873169
Mitake,35.782978,139.149928
Ōarai,36.313443,140.574974
Makabe,26.104592,127.690444
Tarumizu,31.492734,130.700914
Ashibetsu,43.518166,142.189436
Ureshinomachi-shimojuku,33.128084,130.060114
Shimokizukuri,33.128084,130.060114
Fukura,34.256864,134.715179
Karasuyama,36.656893,140.151426
Haibara-akanedai,34.532687,135.952180
Kamogatachō-kamogata,34.541499,133.589482
Tsukawaki,33.277255,131.151722
Shibushi,31.495442,131.045336
Wakuya,38.539646,141.128075
Kawage,35.925101,139.485793
Nishinoomote,30.732412,130.996835
Nakanojōmachi,36.588873,138.843483
Wakimachi,34.066285,134.167386
Muroto-misakicho,33.290009,134.152051
Inawashiro,37.557768,140.104760
Yuza,39.014616,139.907352
Marumori,37.911429,140.765528
Ushibuka,32.194599,130.027754
Tonoshō,34.486022,134.185807
Ōtsuchi,39.358231,141.899422
Matsushima,38.380128,141.067244
Ryōtsu-minato,38.077595,138.439631
Nikkō,36.719903,139.698216
Ikedachō,35.249147,139.691910
Ichinohe,40.213011,141.295475
Iwanai,42.979785,140.514753
Akabira,43.558074,142.044211
Kakunodatemachi,39.594094,140.563930
Hakone,35.232355,139.106937
Shiida,33.654496,131.059624
Kihoku,34.211533,136.337313
Hakuba,36.698180,137.861850
Tsuiki,33.668044,131.035628
Yoshino-chō,34.396048,135.857618
Yoshitomi,33.602643,131.175948
Kamikawa,43.847180,142.770431
Utashinai,43.521352,142.034568
Kōya,34.216069,135.586536
Nisekoā,34.216069,135.586536
Heda,34.970581,138.778024
Otrada,34.970581,138.778024
Rishiri Town,45.187068,141.139627
